Learning rate;L2;Accuracy;Precision;Recall;F1;Confusion matrix
6.839200546666281E-4;0.04563064200446305;0.70016;0.7169614984391259;0.66144;0.6880825565912118;0:,,Predicted Class,,,0,1,TotalActual Class,0,9236,3264,12500,1,4232,8268,12500,Total,13468,11532,
6.092354035069091E-4;0.05378640263155394;0.69896;0.6887236302929124;0.72608;0.7069086377443726;0:,,Predicted Class,,,0,1,TotalActual Class,0,8398,4102,12500,1,3424,9076,12500,Total,11822,13178,
6.374476881132031E-4;0.08786501552164964;0.5;0.0;0.0;0.0;0:,,Predicted Class,,,0,1,TotalActual Class,0,12500,0,12500,1,12500,0,12500,Total,25000,0,
9.661154030189531E-4;0.021689370828881612;0.72;0.7245998039856256;0.70976;0.7171031361138054;0:,,Predicted Class,,,0,1,TotalActual Class,0,9128,3372,12500,1,3628,8872,12500,Total,12756,12244,
5.147285597712913E-4;0.029228109399686647;0.7162;0.7133496486934554;0.72288;0.7180832041959708;0:,,Predicted Class,,,0,1,TotalActual Class,0,8869,3631,12500,1,3464,9036,12500,Total,12333,12667,
3.2149239190657766E-4;0.0710970390165913;0.5;0.5;1.0;0.6666666666666666;0:,,Predicted Class,,,0,1,TotalActual Class,0,0,12500,12500,1,0,12500,12500,Total,0,25000,
1.3224533476839613E-4;0.0409317024050747;0.71516;0.7258376018137543;0.69152;0.7082633454873203;0:,,Predicted Class,,,0,1,TotalActual Class,0,9235,3265,12500,1,3856,8644,12500,Total,13091,11909,
9.262372553585322E-5;0.09079692973583744;0.50776;0.5085583200988177;0.46112;0.4836787782159939;0:,,Predicted Class,,,0,1,TotalActual Class,0,6930,5570,12500,1,6736,5764,12500,Total,13666,11334,
6.475281651545688E-4;0.07692530904786857;0.5;0.0;0.0;0.0;0:,,Predicted Class,,,0,1,TotalActual Class,0,12500,0,12500,1,12500,0,12500,Total,25000,0,
9.563862328010182E-4;0.04788367036161108;0.71268;0.7305524239007892;0.67392;0.7010944197078772;0:,,Predicted Class,,,0,1,TotalActual Class,0,9393,3107,12500,1,4076,8424,12500,Total,13469,11531,
1.6373582641948789E-4;0.07672431965364938;0.50012;0.7142857142857143;4.0E-4;7.995522507395859E-4;0:,,Predicted Class,,,0,1,TotalActual Class,0,12498,2,12500,1,12495,5,12500,Total,24993,7,
7.131402801561076E-4;0.0945855762707044;0.5;0.0;0.0;0.0;0:,,Predicted Class,,,0,1,TotalActual Class,0,12500,0,12500,1,12500,0,12500,Total,25000,0,
6.72396116614941E-4;0.051465790797790276;0.71296;0.7076443057722309;0.72576;0.7165876777251184;0:,,Predicted Class,,,0,1,TotalActual Class,0,8752,3748,12500,1,3428,9072,12500,Total,12180,12820,
8.659076683191475E-4;0.07188933803537806;0.5;0.0;0.0;0.0;0:,,Predicted Class,,,0,1,TotalActual Class,0,12500,0,12500,1,12500,0,12500,Total,25000,0,
1.7602844076331558E-4;0.006091748669027131;0.7204;0.746245977833393;0.66792;0.7049138804457953;0:,,Predicted Class,,,0,1,TotalActual Class,0,9661,2839,12500,1,4151,8349,12500,Total,13812,11188,
8.46685432874469E-4;0.059336112591544775;0.7114;0.7277428251314315;0.67552;0.7006596689208813;0:,,Predicted Class,,,0,1,TotalActual Class,0,9341,3159,12500,1,4056,8444,12500,Total,13397,11603,
7.876362751386965E-4;0.07353951075687862;0.5;0.0;0.0;0.0;0:,,Predicted Class,,,0,1,TotalActual Class,0,12500,0,12500,1,12500,0,12500,Total,25000,0,
3.126330706750334E-4;0.008234280552008937;0.7206;0.7512986421215712;0.65952;0.7024240616878967;0:,,Predicted Class,,,0,1,TotalActual Class,0,9771,2729,12500,1,4256,8244,12500,Total,14027,10973,
5.176953311705005E-4;0.04500234759307243;0.71412;0.7116312168893809;0.72;0.7157911480494691;0:,,Predicted Class,,,0,1,TotalActual Class,0,8853,3647,12500,1,3500,9000,12500,Total,12353,12647,
2.536704838304157E-4;0.008831349621436654;0.7204;0.7497280638143582;0.66168;0.7029576746557878;0:,,Predicted Class,,,0,1,TotalActual Class,0,9739,2761,12500,1,4229,8271,12500,Total,13968,11032,
2.7572088428767837E-4;0.03344257736045603;0.71148;0.7429017734080676;0.6468;0.691528033186503;0:,,Predicted Class,,,0,1,TotalActual Class,0,9702,2798,12500,1,4415,8085,12500,Total,14117,10883,
3.4768892408966885E-4;0.06220084114119861;0.71072;0.7148450244698206;0.70112;0.7079159935379645;0:,,Predicted Class,,,0,1,TotalActual Class,0,9004,3496,12500,1,3736,8764,12500,Total,12740,12260,
3.5519958070755414E-4;0.014285602796681661;0.72036;0.7413475860860422;0.67688;0.707648559361017;0:,,Predicted Class,,,0,1,TotalActual Class,0,9548,2952,12500,1,4039,8461,12500,Total,13587,11413,
9.961277707062496E-4;0.028728134506430174;0.71836;0.7268722466960352;0.6996;0.7129754188577718;0:,,Predicted Class,,,0,1,TotalActual Class,0,9214,3286,12500,1,3755,8745,12500,Total,12969,12031,
8.72724299011167E-4;0.09195639683784976;0.5;0.0;0.0;0.0;0:,,Predicted Class,,,0,1,TotalActual Class,0,12500,0,12500,1,12500,0,12500,Total,25000,0,
6.790119607298385E-4;0.012365856693272283;0.72016;0.7120184899845917;0.73936;0.7254317111459969;0:,,Predicted Class,,,0,1,TotalActual Class,0,8762,3738,12500,1,3258,9242,12500,Total,12020,12980,
1.3535823390181014E-4;0.024854605316797243;0.71848;0.7291107382550336;0.69528;0.7117936117936119;0:,,Predicted Class,,,0,1,TotalActual Class,0,9271,3229,12500,1,3809,8691,12500,Total,13080,11920,
8.979834148143362E-4;0.026145595329283795;0.71744;0.7373799126637555;0.67544;0.7050521920668058;0:,,Predicted Class,,,0,1,TotalActual Class,0,9493,3007,12500,1,4057,8443,12500,Total,13550,11450,
5.814785884564627E-4;0.07198112846578929;0.5;0.0;0.0;0.0;0:,,Predicted Class,,,0,1,TotalActual Class,0,12500,0,12500,1,12500,0,12500,Total,25000,0,
2.908928189741479E-4;0.044840165315452145;0.71264;0.7321397379912664;0.67064;0.7000417536534447;0:,,Predicted Class,,,0,1,TotalActual Class,0,9433,3067,12500,1,4117,8383,12500,Total,13550,11450,
9.521984770519426E-4;0.06410564746424681;0.71168;0.7244274809160305;0.68328;0.7032523672293125;0:,,Predicted Class,,,0,1,TotalActual Class,0,9251,3249,12500,1,3959,8541,12500,Total,13210,11790,
5.549199855077784E-4;0.06177247269714057;0.7114;0.70652598671356;0.7232;0.7147657639849772;0:,,Predicted Class,,,0,1,TotalActual Class,0,8745,3755,12500,1,3460,9040,12500,Total,12205,12795,
5.019840408327314E-4;0.07402109179639442;0.50004;1.0;8.0E-5;1.5998720102391808E-4;0:,,Predicted Class,,,0,1,TotalActual Class,0,12500,0,12500,1,12499,1,12500,Total,24999,1,
8.715183609939472E-4;0.007055652940421714;0.72344;0.7108242753623188;0.75336;0.7314742892651857;0:,,Predicted Class,,,0,1,TotalActual Class,0,8669,3831,12500,1,3083,9417,12500,Total,11752,13248,
4.7685482111176005E-4;0.07741737514246942;0.50004;1.0;8.0E-5;1.5998720102391808E-4;0:,,Predicted Class,,,0,1,TotalActual Class,0,12500,0,12500,1,12499,1,12500,Total,24999,1,
1.8480204676340518E-4;0.0782955889629166;0.49992;0.4166666666666667;4.0E-4;7.992327365728901E-4;0:,,Predicted Class,,,0,1,TotalActual Class,0,12493,7,12500,1,12495,5,12500,Total,24988,12,
7.406915235053133E-4;0.0702038028265162;0.5;0.0;0.0;0.0;0:,,Predicted Class,,,0,1,TotalActual Class,0,12500,0,12500,1,12500,0,12500,Total,25000,0,
2.4895787469567305E-4;0.034308060026964106;0.71088;0.7456205739843459;0.64016;0.6888774104683195;0:,,Predicted Class,,,0,1,TotalActual Class,0,9770,2730,12500,1,4498,8002,12500,Total,14268,10732,
7.847330083489128E-4;0.08761495927986296;0.5;0.0;0.0;0.0;0:,,Predicted Class,,,0,1,TotalActual Class,0,12500,0,12500,1,12500,0,12500,Total,25000,0,
3.367023882474209E-5;0.0957314750965577;0.57088;0.564539627039627;0.62;0.5909714808601495;0:,,Predicted Class,,,0,1,TotalActual Class,0,6522,5978,12500,1,4750,7750,12500,Total,11272,13728,
3.099630704528E-4;0.005202913716980185;0.72128;0.7542279411764706;0.65648;0.70196749358426;0:,,Predicted Class,,,0,1,TotalActual Class,0,9826,2674,12500,1,4294,8206,12500,Total,14120,10880,
